term,n,hawk_ct,dove_ct,z
currently anticipated,2,10,10,-0.2
available,1,10,10,-0.2
part because,2,9,9,-0.19
indicators suggests,2,9,9,-0.19
provided that longer-term,3,9,9,-0.19
investment advanced,2,9,9,-0.19
stayed,1,9,9,-0.19
developments in light,3,9,9,-0.19
including additional measures,3,9,9,-0.19
half percentage,2,9,9,-0.19
fixed investment advanced,3,9,9,-0.19
financial markets continue,3,8,8,-0.18
continuing to move,3,8,8,-0.18
recognizes that inflation,3,8,8,-0.18
rise gradually toward,3,8,8,-0.18
inflation persistently,2,8,8,-0.18
conditions have improved,3,8,8,-0.18
exports have,2,8,8,-0.18
warranted,1,8,8,-0.18
carefully,1,26,25,-0.18
remains depressed,2,8,8,-0.18
pace and composition,3,8,8,-0.18
running persistently,2,8,8,-0.18
markets continue,2,8,8,-0.18
public,1,8,8,-0.18
implications of incoming,3,8,8,-0.18
monitor the implications,3,8,8,-0.18
inflation persistently below,3,8,8,-0.18
inflation is expected,3,8,8,-0.18
restraint,1,8,8,-0.18
only gradual,2,8,8,-0.18
holdings of treasury,3,8,8,-0.18
conditions will strengthen,3,8,8,-0.18
warrant only gradual,3,8,8,-0.18
near its recent,3,8,8,-0.18
only gradual increases,3,8,8,-0.18
balanced approach,2,26,25,-0.18
have been soft,3,8,8,-0.18
sector remains depressed,3,8,8,-0.18
running persistently below,3,8,8,-0.18
rapid,1,7,7,-0.17
stability if incoming,3,7,7,-0.17
although the extent,3,7,7,-0.17
judges most consistent,3,7,7,-0.17
incoming information broadly,3,7,7,-0.17
improvement in labor,3,39,37,-0.17
last year,2,7,7,-0.17
together these actions,3,7,7,-0.17
adjust,1,25,24,-0.17
expanding moderately,2,7,7,-0.17
flow of credit,3,7,7,-0.17
moving toward,2,7,7,-0.17
decided,1,108,101,-0.17
economic growth although,3,7,7,-0.17
growth although,2,7,7,-0.17
inflation is anticipated,3,7,7,-0.17
indicators continuing,2,7,7,-0.17
slack,1,7,7,-0.17
appropriate to raise,3,7,7,-0.17
flow,1,7,7,-0.17
securities purchases,2,7,7,-0.17
restraint is diminishing,3,6,6,-0.16
activity has continued,3,6,6,-0.16
spending appears,2,6,6,-0.16
basis is expected,3,6,6,-0.16
accommodative financial conditions,3,24,23,-0.16
june july,2,6,6,-0.16
has seen,2,6,6,-0.16
accommodative financial,2,24,23,-0.16
have shown,2,6,6,-0.16
housing starts,2,6,6,-0.16
improved further however,3,6,6,-0.16
effects of declines,3,6,6,-0.16
january march,2,6,6,-0.16
purchases in further,3,6,6,-0.16
evolution,1,6,6,-0.16
policy of reinvesting,3,52,49,-0.16
measured reduction,2,6,6,-0.16
pace labor,2,6,6,-0.16
stronger pace,2,6,6,-0.16
new,1,6,6,-0.16
starts,1,6,6,-0.16
total,1,6,6,-0.16
remove policy accommodation,3,24,23,-0.16
first quarter,2,6,6,-0.16
support ongoing,2,6,6,-0.16
remove policy,2,24,23,-0.16
make further measured,3,6,6,-0.16
slowing,1,6,6,-0.16
further measured steps,3,6,6,-0.16
household spending appears,3,6,6,-0.16
expanding,1,38,36,-0.16
credit business spending,3,6,6,-0.16
housing,1,66,62,-0.16
investment is advancing,3,6,6,-0.16
further measured reduction,3,6,6,-0.16
now anticipates,2,6,6,-0.16
make further,2,6,6,-0.16
global developments,2,6,6,-0.16
begin to remove,3,24,23,-0.16
mainly,1,6,6,-0.16
moderate pace labor,3,6,6,-0.16
account,1,65,61,-0.15
has been expanding,3,23,22,-0.15
pace,1,243,225,-0.15
moderate,1,104,97,-0.15
support ongoing improvement,3,5,5,-0.14
decreasing,1,5,5,-0.14
expected then increases,3,5,5,-0.14
conditions,1,374,345,-0.14
inflation objectives,2,5,5,-0.14
investment in equipment,3,5,5,-0.14
currently anticipated conversely,3,5,5,-0.14
foster maximum employment,3,76,71,-0.14
employment have,2,5,5,-0.14
program as needed,3,5,5,-0.14
functioning,1,5,5,-0.14
conversely if progress,3,5,5,-0.14
supporting strong,2,5,5,-0.14
proves slower,2,5,5,-0.14
shown some further,3,5,5,-0.14
progress proves,2,5,5,-0.14
oil prices,2,5,5,-0.14
conversely,1,5,5,-0.14
outlook including,2,5,5,-0.14
remain strong,2,5,5,-0.14
sector remains slow,3,5,5,-0.14
during the winter,3,5,5,-0.14
economic outlook including,3,5,5,-0.14
below those consistent,3,5,5,-0.14
supporting strong labor,3,5,5,-0.14
low household,2,5,5,-0.14
further signs,2,5,5,-0.14
diminishing inflation has,3,5,5,-0.14
low household spending,3,5,5,-0.14
occur sooner,2,5,5,-0.14
has stayed,2,5,5,-0.14
occur later,2,5,5,-0.14
slower than expected,3,5,5,-0.14
proves,1,5,5,-0.14
anticipated conversely,2,5,5,-0.14
overall labor,2,5,5,-0.14
stayed low,2,5,5,-0.14
thereby supporting strong,3,5,5,-0.14
has stayed low,3,5,5,-0.14
energy have,2,5,5,-0.14
shown further,2,5,5,-0.14
diminishing inflation,2,5,5,-0.14
further strengthening,2,5,5,-0.14
december suggests,2,5,5,-0.14
program in light,3,5,5,-0.14
strong on average,3,5,5,-0.14
july september,2,5,5,-0.14
progress proves slower,3,5,5,-0.14
restrain,1,5,5,-0.14
foster maximum,2,76,71,-0.14
october,1,22,21,-0.14
soon,1,5,5,-0.14
dissipate,1,22,21,-0.14
toward its economic,3,4,4,-0.13
spending is rising,3,4,4,-0.13
labor resources has,3,4,4,-0.13
recent pace,2,4,4,-0.13
evolving,1,4,4,-0.13
slowed somewhat,2,4,4,-0.13
continues to view,3,4,4,-0.13
commodity price,2,4,4,-0.13
economic objectives,2,4,4,-0.13
excluding,1,4,4,-0.13
price increases dissipate,3,4,4,-0.13
increases dissipate,2,4,4,-0.13
always,1,4,4,-0.13
little changed consistent,3,4,4,-0.13
time below,2,21,20,-0.13
expectations stable,2,4,4,-0.13
assess whether,2,4,4,-0.13
hardship,1,4,4,-0.13
growing underlying,2,4,4,-0.13
bank lending,2,4,4,-0.13
increase in oil,3,4,4,-0.13
price increases,2,4,4,-0.13
mortgage backed,2,4,4,-0.13
january march suggests,3,4,4,-0.13
conditions will remain,3,4,4,-0.13
commodity price increases,3,4,4,-0.13
until such improvement,3,4,4,-0.13
substantial resource slack,3,4,4,-0.13
late last,2,4,4,-0.13
march suggests,2,4,4,-0.13
showed,1,4,4,-0.13
pressures and longer-term,3,4,4,-0.13
labor market does,3,4,4,-0.13
changed consistent,2,4,4,-0.13
substantial resource,2,4,4,-0.13
winter months,2,4,4,-0.13
august september,2,4,4,-0.13
effective,1,4,4,-0.13
policy by keeping,3,21,20,-0.13
late last year,3,4,4,-0.13
growing underlying strength,3,4,4,-0.13
likely will run,3,4,4,-0.13
consistent with growing,3,4,4,-0.13
however in light,3,4,4,-0.13
forward,1,4,4,-0.13
warranted at least,3,4,4,-0.13
energy prices have,3,4,4,-0.13
resume,1,4,4,-0.13
following the end,3,4,4,-0.13
has moved,2,4,4,-0.13
have picked,2,4,4,-0.13
activity employment,2,4,4,-0.13
expectations stable inflation,3,4,4,-0.13
securities at sizable,3,21,20,-0.13
contract,1,4,4,-0.13
past energy,2,4,4,-0.13
virus,1,4,4,-0.13
improvement is achieved,3,4,4,-0.13
inflation expectations stable,3,4,4,-0.13
term taking,2,4,4,-0.13
prices and decreasing,3,4,4,-0.13
december january suggests,3,4,4,-0.13
agency mortgage backed,3,4,4,-0.13
rapid pace,2,4,4,-0.13
gains and declining,3,4,4,-0.13
slack continuing,2,4,4,-0.13
activity is expanding,3,4,4,-0.13
employment has slowed,3,4,4,-0.13
restrain cost pressures,3,4,4,-0.13
extent of progress,3,4,4,-0.13
does not improve,3,4,4,-0.13
help maintain,2,21,20,-0.13
resources has,2,4,4,-0.13
largely reflecting,2,4,4,-0.13
remained soft,2,4,4,-0.13
temporarily,1,4,4,-0.13
sector remained,2,4,4,-0.13
continuing to restrain,3,4,4,-0.13
medium term taking,3,4,4,-0.13
diminished somewhat,2,4,4,-0.13
improve substantially,2,4,4,-0.13
backed,1,4,4,-0.13
have been increasing,3,4,4,-0.13
inflation is likely,3,4,4,-0.13
levels should help,3,21,20,-0.13
sizable levels,2,21,20,-0.13
continue to take,3,4,4,-0.13
economic activity employment,3,4,4,-0.13
resources has diminished,3,4,4,-0.13
resource slack,2,4,4,-0.13
housing sector remained,3,4,4,-0.13
restrain cost,2,4,4,-0.13
financial markets,2,21,20,-0.13
resource slack continuing,3,4,4,-0.13
agency mortgage,2,4,4,-0.13
april,1,20,19,-0.12
economic activity,2,150,139,-0.12
changed on balance,3,20,19,-0.12
july,1,20,19,-0.12
financial developments,2,74,69,-0.12
slowed during,2,3,3,-0.11
financial conditions thereby,3,3,3,-0.11
investment has remained,3,3,3,-0.11
september october suggests,3,3,3,-0.11
investment has have,3,3,3,-0.11
has been growing,3,3,3,-0.11
sector slowed,2,3,3,-0.11
observed,1,3,3,-0.11
additional accommodation,2,3,3,-0.11
committee's dual mandate,3,3,3,-0.11
have eased,2,3,3,-0.11
causing,1,3,3,-0.11
strengthened somewhat,2,3,3,-0.11
prices inflation has,3,3,3,-0.11
although growth,2,3,3,-0.11
sector slowed somewhat,3,3,3,-0.11
achieve inflation moderately,3,3,3,-0.11
improvement the unemployment,3,3,3,-0.11
aim to achieve,3,3,3,-0.11
inflation will settle,3,3,3,-0.11
hardship across,2,3,3,-0.11
fomc statement march,3,3,3,-0.11
economy evolves,2,3,3,-0.11
economic hardship,2,3,3,-0.11
october suggests,2,3,3,-0.11
somewhat further inflation,3,3,3,-0.11
mandate furthermore strains,3,3,3,-0.11
committee's dual,2,3,3,-0.11
provide additional accommodation,3,3,3,-0.11
remained stable consistent,3,33,31,-0.11
reflect fluctuations,2,3,3,-0.11
mandate to support,3,3,3,-0.11
conditions thereby,2,3,3,-0.11
considerable risks,2,3,3,-0.11
slow inflation,2,3,3,-0.11
however net exports,3,3,3,-0.11
housing sector slowed,3,3,3,-0.11
have boosted,2,3,3,-0.11
realized,1,59,55,-0.11
have boosted household,3,3,3,-0.11
partly reflecting,2,19,18,-0.11
smooth market functioning,3,3,3,-0.11
tremendous human,2,3,3,-0.11
inflation moderately above,3,3,3,-0.11
balance labor,2,3,3,-0.11
conditions thereby supporting,3,3,3,-0.11
time thereby,2,3,3,-0.11
apart from fluctuations,3,3,3,-0.11
reflect,1,3,3,-0.11
year weaker demand,3,3,3,-0.11
investment appears,2,3,3,-0.11
large-scale,1,3,3,-0.11
track,1,3,3,-0.11
reflecting policy measures,3,3,3,-0.11
energy prices inflation,3,3,3,-0.11
labor utilization,2,3,3,-0.11
inflation moderately,2,3,3,-0.11
have shown further,3,3,3,-0.11
risen significantly,2,3,3,-0.11
covid pandemic,2,3,3,-0.11
adverse weather,2,3,3,-0.11
pace household,2,3,3,-0.11
covid,1,3,3,-0.11
stayed low household,3,3,3,-0.11
assess the economic,3,3,3,-0.11
purchasing longer-term,2,3,3,-0.11
however net,2,3,3,-0.11
lending has continued,3,3,3,-0.11
after having,2,3,3,-0.11
slow inflation has,3,3,3,-0.11
adverse weather conditions,3,3,3,-0.11
economic hardship across,3,3,3,-0.11
around the world,3,3,3,-0.11
reflecting policy,2,3,3,-0.11
states and around,3,3,3,-0.11
continue to assess,3,3,3,-0.11
gasoline prices,2,3,3,-0.11
further however net,3,3,3,-0.11
decreasing prices,2,3,3,-0.11
per month through,3,3,3,-0.11
proceed,1,3,3,-0.11
has diminished somewhat,3,3,3,-0.11
weather conditions,2,3,3,-0.11
achieve maximum employment,3,3,3,-0.11
ongoing public health,3,3,3,-0.11
support these outcomes,3,3,3,-0.11
challenging time thereby,3,3,3,-0.11
prepared to employ,3,3,3,-0.11
below levels,2,33,31,-0.11
ongoing public,2,3,3,-0.11
full,1,3,3,-0.11
investment have continued,3,3,3,-0.11
evolves,1,3,3,-0.11
promoting,1,3,3,-0.11
stable consistent,2,33,31,-0.11
committed,1,3,3,-0.11
fomc statement june,3,3,3,-0.11
coronavirus,1,3,3,-0.11
lower prices,2,3,3,-0.11
united,1,3,3,-0.11
continues to diminish,3,3,3,-0.11
measures to support,3,3,3,-0.11
causing tremendous,2,3,3,-0.11
manner,1,19,18,-0.11
virus the ongoing,3,3,3,-0.11
seeks to achieve,3,3,3,-0.11
challenging time,2,3,3,-0.11
decided to lower,3,3,3,-0.11
depend significantly,2,3,3,-0.11
cut,1,3,3,-0.11
remain somewhat below,3,3,3,-0.11
mandate moreover,2,3,3,-0.11
further near-term risks,3,3,3,-0.11
has been subdued,3,3,3,-0.11
addition over coming,3,3,3,-0.11
further action,2,3,3,-0.11
below this longer-run,3,3,3,-0.11
increasing at solid,3,3,3,-0.11
help foster accommodative,3,3,3,-0.11
inflation continued,2,3,3,-0.11
united states,2,3,3,-0.11
near percent indicators,3,3,3,-0.11
below their levels,3,3,3,-0.11
labor resources continues,3,3,3,-0.11
recent months growth,3,3,3,-0.11
foster accommodative,2,3,3,-0.11
pandemic is causing,3,3,3,-0.11
tremendous,1,3,3,-0.11
aim,1,3,3,-0.11
time after,2,19,18,-0.11
household purchasing,2,3,3,-0.11
facility to facilitate,3,3,3,-0.11
about this outlook,3,3,3,-0.11
compensation have declined,3,3,3,-0.11
improvement in overall,3,3,3,-0.11
continued to rise,3,3,3,-0.11
poses considerable,2,3,3,-0.11
remains slow inflation,3,3,3,-0.11
economy will depend,3,3,3,-0.11
months growth,2,3,3,-0.11
recovery and price,3,3,3,-0.11
holding down consumer,3,3,3,-0.11
using its full,3,3,3,-0.11
purchasing longer-term treasury,3,3,3,-0.11
medium term risks,3,3,3,-0.11
public health crisis,3,3,3,-0.11
due to changes,3,3,3,-0.11
take further,2,3,3,-0.11
later this year,3,3,3,-0.11
health labor,2,3,3,-0.11
fixed investment appears,3,3,3,-0.11
strengthens further near-term,3,3,3,-0.11
pace household spending,3,3,3,-0.11
changes in energy,3,3,3,-0.11
achieve maximum,2,3,3,-0.11
effects of earlier,3,3,3,-0.11
resources continues,2,3,3,-0.11
pace seen,2,3,3,-0.11
mortgage rates have,3,3,3,-0.11
weather-related disruptions,2,3,3,-0.11
term and poses,3,3,3,-0.11
anchored however,2,3,3,-0.11
sees the improvement,3,3,3,-0.11
largely reflect,2,3,3,-0.11
dual mandate moreover,3,3,3,-0.11
august fomc,2,3,3,-0.11
human and economic,3,3,3,-0.11
part reflecting policy,3,3,3,-0.11
across the united,3,3,3,-0.11
growth to remain,3,3,3,-0.11
continue to weigh,3,3,3,-0.11
year weaker,2,3,3,-0.11
businesses the path,3,3,3,-0.11
well anchored however,3,3,3,-0.11
boosted household purchasing,3,3,3,-0.11
has been increasing,3,3,3,-0.11
time thereby promoting,3,3,3,-0.11
pandemic,1,3,3,-0.11
health crisis,2,3,3,-0.11
largely reflect fluctuations,3,3,3,-0.11
improved somewhat,2,3,3,-0.11
proceed at moderate,3,3,3,-0.11
activity has picked,3,3,3,-0.11
prices have boosted,3,3,3,-0.11
growth will proceed,3,3,3,-0.11
june fomc,2,3,3,-0.11
strong rate job,3,3,3,-0.11
achieve inflation,2,3,3,-0.11
april fomc,2,3,3,-0.11
remain somewhat,2,3,3,-0.11
readings on public,3,3,3,-0.11
weather-related,1,3,3,-0.11
public health labor,3,3,3,-0.11
human,1,3,3,-0.11
run with inflation,3,3,3,-0.11
supporting the flow,3,3,3,-0.11
assessing the appropriate,3,3,3,-0.11
moderately above,2,3,3,-0.11
poses considerable risks,3,3,3,-0.11
boosted household,2,3,3,-0.11
take further action,3,3,3,-0.11
further near-term,2,3,3,-0.11
investment has slowed,3,3,3,-0.11
averages,1,3,3,-0.11
growing strongly,2,3,3,-0.11
action supports,2,3,3,-0.11
risk that inflation,3,3,3,-0.11
uncertainty,1,3,3,-0.11
growth will pick,3,3,3,-0.11
fluctuations due,2,3,3,-0.11
weaker demand,2,3,3,-0.11
household purchasing power,3,3,3,-0.11
policy action,2,3,3,-0.11
gradually but remains,3,3,3,-0.11
needed,1,19,18,-0.11
well as muted,3,3,3,-0.11
total of billion,3,3,3,-0.11
subdued in recent,3,3,3,-0.11
pace to sustain,3,3,3,-0.11
only slowly,2,3,3,-0.11
objective apart,2,3,3,-0.11
assessments will take,3,3,3,-0.11
has remained soft,3,3,3,-0.11
tools to support,3,3,3,-0.11
committed to using,3,3,3,-0.11
crisis will continue,3,3,3,-0.11
promoting its maximum,3,3,3,-0.11
inflation averages,2,3,3,-0.11
continues to expect,3,3,3,-0.11
implications of global,3,3,3,-0.11
causing tremendous human,3,3,3,-0.11
smooth,1,3,3,-0.11
improve gradually,2,3,3,-0.11
october december suggests,3,3,3,-0.11
foster accommodative financial,3,3,3,-0.11
rising at solid,3,3,3,-0.11
elevated,1,33,31,-0.11
across,1,3,3,-0.11
thereby promoting,2,3,3,-0.11
transitory effects,2,18,17,-0.1
statutory,1,71,66,-0.1
inflation over time,3,45,42,-0.1
activity,1,155,143,-0.09
carefully monitor actual,3,17,16,-0.09
toward levels,2,31,29,-0.09
continue its purchases,3,17,16,-0.09
persistently below,2,17,16,-0.09
carefully monitor,2,17,16,-0.09
monitor actual,2,17,16,-0.09
labor market has,3,31,29,-0.09
sees the risks,3,17,16,-0.09
purchase program,2,43,40,-0.08
increases,1,43,40,-0.08
have remained stable,3,43,40,-0.08
expected economic,2,29,27,-0.07
overall,1,41,38,-0.07
expected economic conditions,3,29,27,-0.07
treasury and agency,3,16,15,-0.07
closely monitor,2,29,27,-0.07
necessary,1,16,15,-0.07
has been running,3,15,14,-0.06
stability,1,174,160,-0.06
international developments,2,40,37,-0.06
labor resources,2,15,14,-0.06
become,1,15,14,-0.06
price stability,2,173,159,-0.06
resources,1,15,14,-0.06
continued,1,125,115,-0.06
international,1,40,37,-0.06
earlier,1,53,49,-0.06
near-term,1,15,14,-0.06
underutilization,1,15,14,-0.06
goals,1,40,37,-0.06
balanced,1,64,59,-0.05
near term,2,27,25,-0.05
nonresidential structures,2,14,13,-0.04
factors,1,26,24,-0.04
take balanced approach,3,26,24,-0.04
non-energy imports,2,14,13,-0.04
structures,1,14,13,-0.04
investment in nonresidential,3,14,13,-0.04
take balanced,2,26,24,-0.04
nonresidential,1,14,13,-0.04
take,1,87,80,-0.04
energy and import,3,14,13,-0.04
economic recovery strengthens,3,13,12,-0.03
recovery strengthens,2,13,12,-0.03
august,1,13,12,-0.03
remain near,2,13,12,-0.03
maintain downward pressure,3,13,12,-0.03
appropriate for considerable,3,13,12,-0.03
maintain downward,2,13,12,-0.03
fixed investment have,3,13,12,-0.03
business,1,84,77,-0.02
policy will remain,3,12,11,-0.01
strength,1,12,11,-0.01
extended,1,12,11,-0.01
near-term risks,2,12,11,-0.01
reflecting earlier declines,3,12,11,-0.01
balance consistent,2,12,11,-0.01
reflecting earlier,2,12,11,-0.01
tools,1,47,43,-0.01
recently,1,12,11,-0.01
economy,1,58,53,-0.0
decided to maintain,3,23,21,0.0
objective this assessment,3,11,10,0.01
continue,1,147,134,0.01
strengthens in particular,3,11,10,0.01
turn should promote,3,11,10,0.01
way this policy,3,11,10,0.01
credit to households,3,11,10,0.01
back toward,2,22,20,0.01
help to ensure,3,11,10,0.01
together,1,11,10,0.01
especially,1,11,10,0.01
outlook,1,217,198,0.01
recovery and help,3,11,10,0.01
return,1,44,40,0.02
remained stable,2,44,40,0.02
size,1,66,60,0.02
employ,1,33,30,0.02
strongly,1,10,9,0.03
significant,1,21,19,0.03
recognizes,1,10,9,0.03
additional agency mortgage-backed,3,10,9,0.03
including additional,2,10,9,0.03
especially if projected,3,10,9,0.03
expectation of ongoing,3,10,9,0.03
gasoline,1,10,9,0.03
expected to remain,3,10,9,0.03
anticipates that economic,3,20,18,0.04
quarter,1,20,18,0.04
activity strong labor,3,9,8,0.05
shortfall,1,9,8,0.05
employ its policy,3,9,8,0.05
current shortfall,2,9,8,0.05
following,1,9,8,0.05
shortfall of inflation,3,9,8,0.05
effects,1,30,27,0.05
activity strong,2,9,8,0.05
backdrop,1,9,8,0.05
against this backdrop,3,9,8,0.05
oil and gasoline,3,9,8,0.05
warrant only,2,9,8,0.05
economic activity strong,3,9,8,0.05
agency debt,2,63,57,0.05
nonetheless,1,9,8,0.05
asset purchase,2,40,36,0.06
asset purchase program,3,40,36,0.06
appropriate until,2,19,17,0.06
maintain highly accommodative,3,19,17,0.06
maintain highly,2,19,17,0.06
june,1,39,35,0.07
labor market indicators,3,39,35,0.07
signs of improvement,3,8,7,0.08
inflation as well,3,8,7,0.08
continues to closely,3,8,7,0.08
expected to prevail,3,18,16,0.08
effects of past,3,8,7,0.08
taken together,2,8,7,0.08
weaker,1,8,7,0.08
strengthen somewhat,2,8,7,0.08
developments in coming,3,18,16,0.08
inflation indicators,2,8,7,0.08
determining the size,3,8,7,0.08
expects that highly,3,8,7,0.08
determining the timing,3,28,25,0.08
size pace,2,8,7,0.08
informed,1,18,16,0.08
expects that economic,3,18,16,0.08
stabilize around,2,8,7,0.08
housing sector has,3,18,16,0.08
take appropriate,2,8,7,0.08
extent of restraint,3,8,7,0.08
remains slow,2,8,7,0.08
take appropriate account,3,8,7,0.08
outlook as informed,3,18,16,0.08
sector has,2,18,16,0.08
transitory,1,28,25,0.08
assess realized,2,28,25,0.08
appropriate account,2,8,7,0.08
objective could pose,3,8,7,0.08
indicators and global,3,8,7,0.08
informed by incoming,3,18,16,0.08
today to continue,3,8,7,0.08
strengthen somewhat further,3,8,7,0.08
part reflecting,2,8,7,0.08
anchored in determining,3,8,7,0.08
inflation goal,2,18,16,0.08
longer run,2,48,43,0.09
soft,1,17,15,0.1
prices,1,121,109,0.1
term,1,121,109,0.1
gradual adjustments,2,17,15,0.1
sees,1,37,33,0.1
course,1,17,15,0.1
auction taken,2,7,6,0.11
asset-purchase program,2,7,6,0.11
meetings however asset,3,7,6,0.11
tight credit business,3,7,6,0.11
developments carefully,2,7,6,0.11
committee's,1,7,6,0.11
running somewhat,2,7,6,0.11
less rapidly,2,7,6,0.11
credit business,2,7,6,0.11
term in part,3,7,6,0.11
auction taken together,3,7,6,0.11
outlook as well,3,7,6,0.11
recent low level,3,7,6,0.11
decided to make,3,7,6,0.11
reflecting declines,2,7,6,0.11
suggest,1,7,6,0.11
running somewhat below,3,7,6,0.11
supporting further improvement,3,7,6,0.11
supporting further,2,7,6,0.11
measured steps,2,7,6,0.11
sector has shown,3,7,6,0.11
progress,1,99,89,0.11
steps at future,3,7,6,0.11
thereby supporting further,3,7,6,0.11
achieved,1,7,6,0.11
asset-purchase,1,7,6,0.11
roughly balanced,2,16,14,0.12
oil,1,16,14,0.12
today,1,55,49,0.12
developments closely,2,16,14,0.12
securities and employ,3,16,14,0.12
declines in energy,3,44,39,0.13
weak,1,25,22,0.13
expectations have remained,3,44,39,0.13
monetary policy remains,3,25,22,0.13
context,1,44,39,0.13
substantially in context,3,15,13,0.14
has improved substantially,3,15,13,0.14
improved substantially,2,15,13,0.14
import,1,15,13,0.14
depend,1,24,21,0.14
import prices,2,15,13,0.14
implications,1,15,13,0.14
earlier declines,2,24,21,0.14
cost pressures,2,6,5,0.15
february,1,6,5,0.15
sector has improved,3,6,5,0.15
however business,2,6,5,0.15
future meetings,2,6,5,0.15
toward,1,167,150,0.15
attention,1,6,5,0.15
april june,2,6,5,0.15
evolution of inflation,3,6,5,0.15
conditions have shown,3,6,5,0.15
pay close attention,3,6,5,0.15
continues to expects,3,6,5,0.15
prices of crude,3,6,5,0.15
review the pace,3,6,5,0.15
promote stronger pace,3,6,5,0.15
term likely,2,6,5,0.15
price stability currently,3,6,5,0.15
net exports have,3,6,5,0.15
somewhat low,2,6,5,0.15
housing sector continues,3,6,5,0.15
currently the unemployment,3,6,5,0.15
currently judges,2,6,5,0.15
consequently anticipates,2,6,5,0.15
likelihood,1,6,5,0.15
advancing while,2,6,5,0.15
elevated and measures,3,6,5,0.15
close attention,2,6,5,0.15
has improved further,3,6,5,0.15
medium term likely,3,6,5,0.15
ends especially,2,6,5,0.15
pay,1,6,5,0.15
sector continues,2,6,5,0.15
pay close,2,6,5,0.15
winter,1,6,5,0.15
future meetings however,3,6,5,0.15
relative to levels,3,6,5,0.15
stability currently,2,6,5,0.15
program ends especially,3,6,5,0.15
net,1,14,12,0.16
run are likely,3,14,12,0.16
utilization and subdued,3,14,12,0.16
thereby supporting,2,23,20,0.16
until the outlook,3,14,12,0.16
subdued outlook,2,14,12,0.16
incoming,1,81,72,0.16
costs,1,23,20,0.16
levels consistent,2,23,20,0.16
anticipates that even,3,14,12,0.16
has continued,2,60,53,0.17
light,1,60,53,0.17
strengthens,1,22,19,0.18
size of future,3,31,27,0.18
conditions relative,2,31,27,0.18
preset,1,13,11,0.18
timing and size,3,31,27,0.18
maximum employment objective,3,13,11,0.18
contingent,1,13,11,0.18
preset course,2,13,11,0.18
recent quarters,2,13,11,0.18
expected labor,2,13,11,0.18
symmetric percent inflation,3,13,11,0.18
exceptionally,1,40,35,0.18
exceptionally low,2,40,35,0.18
economic conditions relative,3,31,27,0.18
after,1,49,43,0.19
weak employers remain,3,5,4,0.2
having diminished,2,5,4,0.2
summer,1,5,4,0.2
have improved further,3,5,4,0.2
normalization principles,2,5,4,0.2
price inflation,2,5,4,0.2
objectives has,2,5,4,0.2
principles,1,5,4,0.2
stability although,2,5,4,0.2
partly,1,21,18,0.2
sees the downside,3,5,4,0.2
excess,1,5,4,0.2
past declines,2,5,4,0.2
weak employers,2,5,4,0.2
increased in recent,3,5,4,0.2
sheet normalization,2,5,4,0.2
price stability although,3,5,4,0.2
month through,2,5,4,0.2
begins,1,5,4,0.2
principles and plans,3,5,4,0.2
however business fixed,3,5,4,0.2
moderately and business,3,5,4,0.2
solid,1,39,34,0.2
fomc,1,48,42,0.2
change,1,5,4,0.2
during the first,3,5,4,0.2
associated,1,5,4,0.2
improving,1,5,4,0.2
january fomc,2,5,4,0.2
balance sheet normalization,3,5,4,0.2
highly accommodative stance,3,39,34,0.2
continue expanding,2,5,4,0.2
retrenchment,1,5,4,0.2
declining unemployment,2,5,4,0.2
tools as appropriate,3,21,18,0.2
november december,2,5,4,0.2
maximum,1,220,197,0.2
fiscal retrenchment,2,5,4,0.2
has improved,2,21,18,0.2
gradual increases,2,21,18,0.2
although inflation,2,5,4,0.2
generally,1,5,4,0.2
however if incoming,3,5,4,0.2
slowed in recent,3,5,4,0.2
continue to pay,3,5,4,0.2
september november,2,5,4,0.2
account the extent,3,5,4,0.2
events,1,5,4,0.2
relative,1,47,41,0.21
until normalization,2,12,10,0.21
moving,1,29,25,0.21
decisions about,2,12,10,0.21
underlying strength,2,12,10,0.21
well under way,3,12,10,0.21
doing so until,3,12,10,0.21
advanced,1,12,10,0.21
remain contingent,2,12,10,0.21
have improved,2,12,10,0.21
broader economy,2,12,10,0.21
expectations have,2,46,40,0.22
persistently,1,20,17,0.22
increasing,1,20,17,0.22
inflation expectations have,3,46,40,0.22
monitor incoming,2,20,17,0.22
closely monitor incoming,3,20,17,0.22
inception,1,11,9,0.24
pace will remain,3,11,9,0.24
having,1,11,9,0.24
monitor inflation,2,19,16,0.24
employment has,2,11,9,0.24
monitor inflation developments,3,11,9,0.24
about their pace,3,11,9,0.24
views,1,19,16,0.24
nearly balanced,2,19,16,0.24
continues to monitor,3,11,9,0.24
consequently,1,11,9,0.24
broadly,1,11,9,0.24
time below levels,3,19,16,0.24
maximum employment,2,220,196,0.25
purchase longer-term treasury,3,4,3,0.26
diminish,1,4,3,0.26
months but remain,3,4,3,0.26
reflecting transitory,2,4,3,0.26
march april,2,4,3,0.26
eased,1,4,3,0.26
mandate strains,2,4,3,0.26
only gradually toward,3,4,3,0.26
warrant,1,70,61,0.26
maintain appropriate policy,3,4,3,0.26
always take,2,4,3,0.26
decline only gradually,3,4,3,0.26
impede,1,4,3,0.26
year its program,3,4,3,0.26
dual mandate strains,3,4,3,0.26
held,1,4,3,0.26
consumer price,2,4,3,0.26
