term,ngram_len,total_freq,doc_freq_of_62,example_sentence
vegetables inflation,2,21,21,"Net of energy and fruits and vegetables, inflation is 2.7 percent, and net the effects of taxation and regulation, it is 2.4 percent  ."
interest rate unchanged,3,21,20,"The ECB left its interest rate unchanged, and revised its growth and inflation forecasts downward, but noted that the chances of falling into a recession are very low."
long-term government,2,21,20,"Similar to global yields, medium- and long-term government bond yields declined sharply and eased financial conditions in the economy."
tight labor,2,21,18,"In the second and third quarters, there was some slowdown in the economy’s growth rate, but current indicators of activity support the assessment that the economy is at full employment, and in particular, the tight labor market data indicate a high level of demand."
tight labor market,3,21,18,"In the second and third quarters, there was some slowdown in the economy’s growth rate, but current indicators of activity support the assessment that the economy is at full employment, and in particular, the tight labor market data indicate a high level of demand."
indicated,1,21,18,"The ECB left its interest rate unchanged, but indicated that additional accommodative measures are expected."
commodity,1,21,18,Commodity prices collapsed by tens of percent.
accompanied,1,21,17,The increase in housing prices in recent months has been accompanied by an increase in the prices of construction inputs.
owner-occupied,1,21,17,"The owner-occupied housing services item in the Consumer Price Index continued to increase, to 7.6 percent over the past year."
owner-occupied housing,2,21,17,"The owner-occupied housing services item in the Consumer Price Index continued to increase, to 7.6 percent over the past year."
lowered,1,21,16,"Interest rates were lowered in the US and other economies, and further reductions are expected."
previous years,2,21,16,"The level of credit card purchases in July was lower than the baseline based on data from previous years, but since the beginning of August, there has been an increase in purchases, and as of mid-August, the level is higher than the baseline level  ."
duty,1,21,16,"The definition of broad unemployment does not include employees who were absent from their jobs for other reasons, such as reserve duty, caring for children in the absence of day care or educational frameworks, and others."
particular,1,21,15,"In the second and third quarters, there was some slowdown in the economy’s growth rate, but current indicators of activity support the assessment that the economy is at full employment, and in particular, the tight labor market data indicate a high level of demand."
months is percent,3,21,15,"The CPI readings for June and July were markedly lower than expected, and the inflation rate in the past 12 months is 0.5 percent."
compared with percent,3,21,15,"Inflation in the past 12 months was 0.5 percent (compared with 1.5 percent at the time of the previous interest rate decision)  , while inflation excluding energy and fruit and vegetables was 0.9 percent (1.1 percent at the time of the previous interest rate decision)  ."
labor force,2,21,15,"Approximately 1 million workers claimed unemployment benefits during March, 850,000 more than in February, with 90 percent of them on the basis of being placed on unpaid leave, and the number of people seeking work makes up about 24 percent of the labor force."
expected to lead,3,21,14,"The tension between the Italian government and European authorities grew stronger, following the proposed budget that is expected to lead to an increase in the deficit in Italy."
contract,1,21,13,"Private consumption grew moderately, and investment continued to contract, despite the firming of residential construction investment after it had declined over several quarters."
recovered,1,21,13,"Equity indices recovered, in light of the expected halt in the process of monetary contraction, and renewed optimism regarding US-China trade negotiations."
small businesses,2,21,13,"Bank credit has increased during the course of the crisis, primarily in light of the growth in business credit and in mortgages, but credit to small businesses and consumer credit declined."
interest rate increases,3,21,13,"In contrast, the interest rate increases in the emerging economies continue in view of the increase in inflation."
variance,1,21,12,"Real-time surveys among companies, conducted by the Central Bureau of Statistics, indicated that in the middle of April, the share of active employees was around 61 percent, and it increased to about 71 percent in the beginning of May, with notable variance among the industries  ."
appreciated,1,21,11,The shekel appreciated by approximately 2 percent in nominal effective exchange rate terms since the previous interest rate decision  .
seems,1,21,10,"The inflation rate over the preceding 12 months has been 1.5 percent, and it currently seems less likely that inflation will again fall below the lower bound of the target range."
remains strong,2,21,9,Economic activity remains strong.
israel remains,2,21,9,Economic activity in Israel remains strong and the labor market remains tight and is in a full employment environment.
cpi components,2,21,8,"The increase in inflation is broad-based, with contributions from most CPI components."
third lockdown,2,21,7,"There was a recovery of economic activity in November and December following the exit from the second lockdown, but the variance of the adverse effect between the various industries continues, and the increase in morbidity led the government to announce a third lockdown."
attainment,1,20,20,"Even after an increase of the interest rate by 0.15 percentage points, monetary policy remains accommodative and will continue to support the attainment of policy targets."
continue supporting,2,20,20,"This is all in order to continue supporting the attainment of the policy targets and the recovery of the economy from the crisis, and to ensure the continued orderly functioning of the financial markets."
order to continue,3,20,20,"This is all in order to continue supporting the attainment of the policy targets and the recovery of the economy from the crisis, and to ensure the continued orderly functioning of the financial markets."
cumulative deficit,2,20,19,"The cumulative deficit in the past 12 months continued to increased, to 4.8 percent of GDP."
budget deficit,2,20,17,"The government budget deficit is expected to increase to 11 percent of GDP in 2020, taking into account the budget plan announced by the government to deal with the crisis and the expected decline in revenues due to a slowdown in activity."
card purchases,2,20,17,"Indicators of private consumption show a recovery; data on credit card purchases indicate an increase in the scope of purchases in most industries in which the strict limitations were removed, to close to the pre-crisis level."
credit card purchases,3,20,17,"Indicators of private consumption show a recovery; data on credit card purchases indicate an increase in the scope of purchases in most industries in which the strict limitations were removed, to close to the pre-crisis level."
volume of world,3,20,17,The volume of world trade continued to increase in recent months.
owner-occupied housing services,3,20,17,"The owner-occupied housing services item in the Consumer Price Index continued to increase, to 7.6 percent over the past year."
accelerated,1,20,16,"There was accelerated growth in the UK, but the uncertainty regarding Brexit remained high."
output,1,20,16,"Oil prices continued to decline until recently, despite the decision by oil producers to cut back on output  . interest rate decision will be published on January 21, 2019."
slightly higher,2,20,16,"The economy is expected to grow in those years at a rate slightly higher than the long-term pace, as a result of significant activity by a number of large companies."
previous month,2,20,16,"Inflation over the past 12 months was -0.6 percent, compared with -1.6 percent in the previous month  ."
reducing,1,20,16,"The increase in fuel prices made a significant contribution to the increase in annual inflation, by reducing the negative contribution of the energy component in the CPI."
stabilizing,1,20,15,"After a continued rise in inflation since the beginning of 2018, the inflation rate is stabilizing slightly above the lower bound of the target range, and is expected to remain within the target in the coming months as well."
major economies,2,20,15,"The major economies in Europe convey a mixed picture—there was positive growth in France and Spain, while contraction was seen in Germany and Italy."
prices remained,2,20,15,"Oil prices remained stable since the previous interest rate decision, in view of the decline in supply being offset by worsening sentiment in the markets.  . prior to this interest rate decision will be published on June 3, 2019."
expanded,1,20,15,An expanded explanation of these two steps is published in a separate press release.
period last,2,20,14,"The volume of bank credit issued during the crisis was higher than it was during the same period last year, particularly regarding credit to medium and large businesses and housing credit."
period last year,3,20,14,"The volume of bank credit issued during the crisis was higher than it was during the same period last year, particularly regarding credit to medium and large businesses and housing credit."
obtaining,1,20,13,"Corporate bond spreads have also started to widen again recently. v The Business Tendency Survey indicates some moderation in companies’ difficulty in obtaining credit, but the constraint remains greater than it was prior to the crisis."
four,1,20,12,The Research Department forecasts inflation of 1.3 percent over the coming four quarters.
continued to moderate,3,20,11,"Inflation in tradable goods prices continued to moderate, primarily as a result of the decline in energy prices."
shekel has strengthened,3,20,11,"For the year to date, the shekel has strengthened by 6 percent in terms of the nominal effective exchange rate, and since the last meeting it has appreciated by 1.2 percent."
continue to indicate,3,20,11,The global purchasing managers indices for July continue to indicate economic expansion  .
weeks,1,20,9,"The steep decline in oil prices in recent weeks may offset the factors supporting inflation, but its impact on the “adjusted indices” will be limited."
ukraine,1,20,9,"The war in Ukraine and the increase in morbidity in China are deepening the interruptions in the global production chains, increasing inflationary pressure, and leading to some slowdown in the pace of global economic activity."
policy targets,2,19,18,"Even after an increase of the interest rate by 0.15 percentage points, monetary policy remains accommodative and will continue to support the attainment of policy targets."
foreign trade,2,19,18,"There is an apparent decline in the share of companies in the Business Tendency Survey reporting a severe constraint in export orders, but foreign trade data indicate a slowdown in goods exports in April."
new mortgage borrowing,3,19,17,"The volume of new mortgages taken out in May was about NIS 12 billion, representing a further increase in the pace of new mortgage borrowing  ."
current indicators,2,19,16,"In the second and third quarters, there was some slowdown in the economy’s growth rate, but current indicators of activity support the assessment that the economy is at full employment, and in particular, the tight labor market data indicate a high level of demand."
japan,1,19,16,"Global monetary policy remains accommodative, but the direction is gradually changing—while negative interest rates and below-target inflation continue in Europe and Japan, federal funds rate increases in the US are expected to continue and the central banks of several additional countries raised interest rates."
reading,1,19,16,"The inflation environment has stabilized above the lower bound of the target range, even though the CPI reading for November declined by 0.3 percent and was slightly lower than expected."
first estimate,2,19,16,"Regarding economic activity, the first estimate by the Central Bureau of Statistics for full year growth in 2018 is 3.2 percent, similar to the long-term growth rate."
revised upward,2,19,16,"In addition, the Composite State of the Economy Index, which increased by 0.3 percent in November, with data for October revised upward, even hints at a faster pace in the fourth quarter  ."
uk,1,19,16,"There was accelerated growth in the UK, but the uncertainty regarding Brexit remained high."
indicating,1,19,16,"The Purchasing Managers Indices indicate some recovery, but they remain below 50, which is the range indicating contraction of economic activity  ."
continue to increase,3,19,15,"The ratio of job vacancies to total employee posts rose to a record level  , and wages continue to increase  , led by a relatively sharp rise in the business sector, encompassing a wide range of industries and all salary levels."
share,1,19,15,"Labor market data show that it remains tight—the unemployment rate remains low, although there was an increase in unemployment benefit claims in recent months; the share of job vacancies out of total employee posts is at a peak  ; and wages continue to increase  ."
activity data,2,19,15,"In Japan, the economic activity data published in the fourth quarter indicate a recovery, following contraction in the third quarter."
includes,1,19,15,"The slowdown in world trade is becoming more severe, and includes emerging markets as well."
public consumption,2,19,15,"Private consumption excluding durable goods and public consumption drove growth in the second quarter, and the trend of expansion that has characterized exports in the past two years continued, led by services exports."
goods and services,3,19,15,"Goods and services exports slowed relative to last year, but the level of activity remains high  ."
households,1,19,15,There was a sharp change in the composition of households’ consumption basket.
projections,1,19,15,"Inflation expectations derived from the capital market declined since the second week in June, and continued to decline after the publication of the May CPI reading, while projections by professional forecasters increased slightly following the CPI publication."
moderated to percent,3,19,15,The increase in rental prices also moderated to 1.2 percent.
reserve duty,2,19,15,"The definition of broad unemployment does not include employees who were absent from their jobs for other reasons, such as reserve duty, caring for children in the absence of day care or educational frameworks, and others."
trade continues,2,19,14,"The IMF revised its growth forecast downward for most countries and regions, and the moderation in world trade continues."
previous months,2,19,14,"Since the previous interest rate decision, 10-year government bond yields stabilized, after increasing in previous months."
term,1,19,14,"After the growth rate slowed in the second and third quarters of 2018, the findings from the fourth quarter Companies Survey   and data on tax revenues support the assessment that the economy is growing at a pace hovering around the long term path."
rental prices,2,19,14,"In recent months, home prices again increased moderately, so that overall they increased by approximately 1.0 percent in the past year, while rental prices remained stable in the past two months."
short,1,19,14,"Short- and medium-term inflation expectations declined, with one-year expectations ranging around the lower bound of the target range, but long-term expectations remained anchored near the midpoint of the target range."
reduction,1,19,14,"Oil prices increased since the previous interest rate decision, in view of an expected increase in demand and a reduction of supply  . prior to this interest rate decision will be published on December 9, 2019."
inflation continues,2,19,14,"Headline inflation in the major economies increased, but inflation continues to be lower than the central banks' guiding targets  ."
cpi declined,2,19,14,"The CPI declined by 0.4 percent in January and by 0.1 percent in February, so that the year over year inflation rate continued to fall, reaching 0.1 percent, with a moderate decrease in inflation expectations, from all sources, as well."
tightening around,2,19,14,"Accordingly, monetary tightening around the world is continuing."
monetary tightening around,3,19,14,"Accordingly, monetary tightening around the world is continuing."
mixed,1,19,13,"The major economies in Europe convey a mixed picture—there was positive growth in France and Spain, while contraction was seen in Germany and Italy."
reporting,1,19,13,"There is an apparent decline in the share of companies in the Business Tendency Survey reporting a severe constraint in export orders, but foreign trade data indicate a slowdown in goods exports in April."
international,1,19,13,"The baseline scenario guiding the assessments of most international financial institutions is that the spread of the virus will be halted in the coming months, and the overall impact on the global economy is expected to be limited."
make,1,19,12,"Moreover, if necessary, the Committee will take additional steps to make monetary policy even more accommodative."
contracted by percent,3,19,12,"These estimates suggest that in the first quarter, the economy contracted by 5 percent compared with the previous quarter (in quarterly terms)."
gdp contracted,2,19,11,"According to the Research Department’s assessment, GDP contracted by approximately 5 percent in the first quarter (quarterly terms)."
war in ukraine,3,19,8,"The war in Ukraine and the increase in morbidity in China are deepening the interruptions in the global production chains, increasing inflationary pressure, and leading to some slowdown in the pace of global economic activity."
inoculation,1,19,3,The Research Department’s forecast outlines two potential scenarios that are influenced by the pace of inoculation of the population.
supporting the attainment,3,18,18,"This is all in order to continue supporting the attainment of the policy targets and the recovery of the economy from the crisis, and to ensure the continued orderly functioning of the financial markets."
continues to indicate,3,18,17,The macro picture conveyed by the global economy continues to indicate declining momentum.
emerging markets,2,18,17,"Emerging markets are relatively stable, but a possible worsening of the “trade war” and the effects of the monetary contraction in advanced economies continue to weigh on continued growth."
decided,1,18,17,"In addition, the Committee decided on 2 additional steps:"
card expenditure,2,18,17,"Of particular note have been the increases in credit card expenditure in the restaurant industry and the education and leisure services industry, which until recent weeks had typically been stable at low activity levels, while tourism remains very low."
credit card expenditure,3,18,17,"Of particular note have been the increases in credit card expenditure in the restaurant industry and the education and leisure services industry, which until recent weeks had typically been stable at low activity levels, while tourism remains very low."
assesses,1,18,16,The Committee assesses that the rising path of the interest rate in the future will be gradual and cautious.
available,1,18,16,Data on services exports are still not available for the crisis period but a sharp decline is expected in exports of tourism and transportation services.
temporary,1,18,16,"Alongside this, it is possible that some of the difficulties are temporary due to the sharp and rapid exit from COVID-19-related restrictions to a full activity routine."
inflation is percent,3,18,16,"Net of energy and fruits and vegetables, inflation is 2.7 percent, and net the effects of taxation and regulation, it is 2.4 percent  ."
yield,1,18,15,"In the past month, there was a slight increase in the yield spreads between corporate bonds and comparable government bonds."
beyond,1,18,15,"According to the Bank of Israel’s assessment, beyond the impact on specific companies, this scenario is not expected to have a significant macroeconomic effect in Israel, even though China is a significant trading partner in a range of industries."
activity and fiscal,3,18,15,"The interest rate path will be determined in accordance with the continued convergence of inflation to its target, continued stability in the financial markets, economic activity, and fiscal policy."
investments,1,18,14,"In the UK, fourth quarter 2018 growth declined because investments decreased sharply in view of Brexit."
orders,1,18,14,"There is an apparent decline in the share of companies in the Business Tendency Survey reporting a severe constraint in export orders, but foreign trade data indicate a slowdown in goods exports in April."
portion,1,18,14,"After about a year in which it hovered in the lower portion of the target range, annual inflation has, for the past three months, been below the target."
employed,1,18,14,"A breakdown of the unemployed by how long they have been waiting to return to employment, and the decline in the number of people who are involuntarily employed part-time also indicate a tight labor market."
relatively low,2,18,14,"The removal of the restrictions led to growth on the supply side of the economy, but the level of demand remains relatively low, as shown by a number of indicators."
reflecting,1,18,14,"Evidence of some improvement in the state of the world economy can be found in the global Purchasing Managers Index, which returned in July to the range reflecting growth at a rate similar to the long-term pace  ."
supporting economic,2,18,14,"The vaccination campaign around the world is accelerating and supporting economic activity, but at the same time, there has been a worsening of morbidity in a number of emerging economies."
supporting economic activity,3,18,14,"The vaccination campaign around the world is accelerating and supporting economic activity, but at the same time, there has been a worsening of morbidity in a number of emerging economies."
unchanged at percent,3,18,14,The IMF’s global growth forecast for 2021 remained unchanged at 6 percent  .
world trade continues,3,18,13,"The IMF revised its growth forecast downward for most countries and regions, and the moderation in world trade continues."
revised downward,2,18,13,"The global macroeconomic picture continues to point to moderation in the growth and inflation rates, and growth forecasts for most regions were revised downward again."
deficit is expected,3,18,13,"The government budget deficit is expected to increase to 11 percent of GDP in 2020, taking into account the budget plan announced by the government to deal with the crisis and the expected decline in revenues due to a slowdown in activity."
function,1,18,13,The credit market continues to function with stable interest rates.
continues to function,3,18,13,The credit market continues to function with stable interest rates.
legislative,1,18,13,"The Research Department has revised its macroeconomic staff forecast, and presents two potential scenarios in view of the tremendous uncertainty due to legislative processes concerning the judicial system and their economic implications."
dollar-denominated government,2,18,13,"The risk premium as measured by the CDS, and the spread between dollar-denominated government bonds and US Treasury bills, moderated slightly but remain high."
supported,1,18,12,"In Japan, there was growth in the first quarter supported by net exports, although leading indicators point to weakness in domestic demand and in the manufacturing sector."
bank credit,2,18,12,"Bank credit has increased during the course of the crisis, primarily in light of the growth in business credit and in mortgages, but credit to small businesses and consumer credit declined."
forward expectations,2,18,11,Medium-term and long-term forward expectations are slightly below the midpoint of the target.
prewar period,2,18,9,"The growth rate of business credit in recent months is slower than the prewar period, and in the most recent data (June) credit to large businesses increased, and to the rest of the business sector it contracted slightly."
credit to small,3,18,8,The loans are contingent on extending credit to small and micro businesses.
wave,1,18,7,"The Research Department assesses that in a case of an outbreak of a second wave of infection in the final quarter of the year, GDP in 2020 is expected to contract even more sharply, by approximately 8 percent, and the unemployment rate is expected to increase to 11 percent in the fourth quarter."
high-tech sector,2,17,17,"Total capital raised by private companies in the high-tech sector since the beginning of the year has already surpassed $15 billion, compared with about $10 billion in all of 2020  ."
foreign trade data,3,17,16,"There is an apparent decline in the share of companies in the Business Tendency Survey reporting a severe constraint in export orders, but foreign trade data indicate a slowdown in goods exports in April."
fixed,1,17,16,"Provision of monetary loans to banks for a term of 3 years, with a fixed interest rate of 0.1 percent."
tradable goods,2,17,15,"Inflation in tradable goods prices moderated, primarily as a result of a slowdown in the annual rate of increase in energy prices, despite the increase in oil prices until recently and the depreciation of the shekel."
near the midpoint,3,17,15,"One-year inflation expectations and forecasts are slightly above the lower bound of the target range, and forward expectations for medium and longer terms remained near the midpoint of the target."
participation rate,2,17,15,"However, there was also a decline in the labor force participation rate, such that the employment rate (excluding those absent for economic reasons) remained similar to the previous month (60.5 percent compared to 60.4 percent)."
remain high,2,17,15,"In the UK as well, first quarter growth data were encouraging, but the risks regarding Brexit remain high, and its implementation was delayed again."
orderly,1,17,15,This step will strengthen the plan’s support of liquidity and the orderly functioning of the financial markets.
orderly functioning,2,17,15,This step will strengthen the plan’s support of liquidity and the orderly functioning of the financial markets.
absentees,1,17,15,"The broad unemployment rate declined to 9.5 percent, and the employment rate excluding COVID-19 absentees increased slightly."
housing transactions,2,17,15,The number of housing transactions continues to decline.
number of housing,3,17,15,The number of housing transactions continues to decline.
markets economic,2,17,15,"The interest rate path will be determined in accordance with the continued convergence of inflation to its target, continued stability in the financial markets, economic activity, and fiscal policy."
financial markets economic,3,17,15,"The interest rate path will be determined in accordance with the continued convergence of inflation to its target, continued stability in the financial markets, economic activity, and fiscal policy."
markets economic activity,3,17,15,"The interest rate path will be determined in accordance with the continued convergence of inflation to its target, continued stability in the financial markets, economic activity, and fiscal policy."
yields declined,2,17,14,"In financial markets, there were sharp declines and volatility in most equity indices  , government bond yields declined, and corporate bond spreads widened."
point to continued,3,17,14,"Most indicators of economic activity point to continued solid growth in the fourth quarter, and the labor market remains tight."
israel and abroad,3,17,14,"In March, there were shocks in capital markets in Israel and abroad."
chains,1,17,14,"The increase in orders for consumer goods and imports of goods for manufacturing, combined with the lack of manpower and storage space at the ports, are leading to difficulties in supply chains."
homes,1,17,14,"The declines in the number of housing transactions and in new mortgage volume continue, while the stock of unsold homes held by developers increased markedly in the past year."
cds spread,2,17,14,"In addition, the CDS spread remains at high levels."
period the shekel,3,17,13,"In the intermeeting period, the shekel weakened by 3.6 percent in terms of the nominal effective exchange rate  ."
corporate bonds,2,17,13,"In the past month, there was a slight increase in the yield spreads between corporate bonds and comparable government bonds."
indicators point,2,17,13,"Assessments are that it is not a change in trend, although leading indicators point to a loss of momentum."
purchase,1,17,13,"Home prices have stabilized in recent months  , with a continued decline in building starts and an increase in the number of those planning to purchase a home."
continues to increase,3,17,13,"Inflation in the prices of nontradable goods, an approximation of the domestic component of inflation, moderated in recent months, but remains above the 2 percent level, and inflation in tradable goods prices continues to increase."
expected to decline,3,17,13,"Annual inflation is expected to decline slightly in the coming months, but most one-year inflation expectations and forecasts are slightly above the lower bound of the target range  ."
supply chain,2,17,13,"Although the adverse impact in the supply chain of many goods may lead to price increases from the supply side, the effect of the decrease in demand is apparently more notable, and is expected to lead to a decline in inflation in the coming months."
continuing war,2,17,13,"Global economic activity continues to moderate, in view of high inflation, monetary tightening, the continuing war in Ukraine and the energy crisis in Europe, the slowdown in China, and the supply chain difficulties."
steps,1,17,12,"Moreover, if necessary, the Committee will take additional steps toward making monetary policy even more accommodative in order to support a process at the end of which inflation will stabilize around the midpoint of the target range, and to support economic activity."
recorded,1,17,12,"Inflation increased slightly, but remains slightly below the target, and third quarter growth is expected to be moderate, in addition to the slowdown that was recorded in the second quarter."
new mortgages,2,17,12,"The volume of new mortgages taken out in July was similar to the record set in June, further to the high mortgage volumes since the beginning of the year  ."
initial,1,17,11,"Based on the initial estimate of National Accounts data by the Central Bureau of Statistics, the economy returned to growth in the fourth quarter of 2018 at a pace in line with the long-term rate, following slower growth in the second and third quarters of 2018  ."
monthly,1,17,11,"Home prices declined by 1.4 percent in 2018, even though the most recent monthly figure showed an increase of 0.2 percent  ."
relatively moderate,2,17,11,"Private current consumption increased at a relatively moderate rate in the first quarter, and, other than vehicles, most components of investment contracted."
virus,1,17,11,"The baseline scenario guiding the assessments of most international financial institutions is that the spread of the virus will be halted in the coming months, and the overall impact on the global economy is expected to be limited."
decline to percent,3,17,11,The unemployment rate in the second half of 2020 is expected to rise to 8.5 percent (compared with 8 percent in the previous forecast) and to decline to 5.5 percent at the end of 2021 (as opposed to 4 percent).
general,1,17,11,"The intensity of the reaction was not uniform over all industries, and was, in general, more moderate than the decline in activity during the first lockdown."
four quarters,2,17,10,The Research Department forecasts inflation of 1.3 percent over the coming four quarters.
leave,1,17,10,"However, the continuing uncertainty regarding the political situation in Israel may leave its mark on economic activity."
magnitude,1,17,9,"Note that there is considerable uncertainty regarding the forecast crisis, in view of the lack of clarity about the length and magnitude of the crisis."
loans,1,17,6,"Provision of monetary loans to banks for a term of 3 years, with a fixed interest rate of 0.1 percent."
range of cpi,3,17,6,Inflation is being recorded in a wide range of CPI components.
inflation is moderating,3,17,6,"Inflation is moderating, but is still high over a wide range of CPI components."
ensure,1,16,16,"In view of the magnitude of the crisis’s adverse impact on economic activity, the Committee is utilizing a range of tools in order to increase the extent of the monetary policy accommodation and to ensure the orderly functioning of the financial markets."
managers indices,2,16,16,"The Purchasing Managers Indices indicate some recovery, but they remain below 50, which is the range indicating contraction of economic activity  ."
purchasing managers indices,3,16,16,"The Purchasing Managers Indices indicate some recovery, but they remain below 50, which is the range indicating contraction of economic activity  ."
exports excluding ships,3,16,16,"Manufacturing exports (excluding ships, aircraft, and diamonds, in dollars) increased slightly in October, returning to the level from before the first lockdown, driven by high-technology exports  ."
increase in demand,3,16,15,"Oil prices increased since the previous interest rate decision, in view of an expected increase in demand and a reduction of supply  . prior to this interest rate decision will be published on December 9, 2019."
commodity prices,2,16,15,Commodity prices collapsed by tens of percent.
services industries,2,16,15,"Many countries are in various stages of a gradual return to economic activity under health-related limitations, but the magnitude of the global economic crisis is still high, particularly in the services industries."
composite,1,16,14,"The Composite State of the Economy Index  , the Purchasing Managers Index and the Consumer Confidence Index  , and the Business Tendency Survey of the Central Bureau of Statistics all support this assessment, as do labor market data."
stabilize,1,16,14,"The Committee assesses that the rising path of the interest rate in the future will be gradual and cautious, in a manner that supports a process at the end of which inflation will stabilize around the midpoint of the target range, and that supports economic activity."
concern,1,16,14,"The main risks include a possible escalation of the trade war (despite progress in contacts between the US and China), and concern over a no-deal Brexit in the UK."
mortgages taken,2,16,14,"The volume of new mortgages taken out in July was similar to the record set in June, further to the high mortgage volumes since the beginning of the year  ."
year and onward,3,16,14,"Expectations derived from the capital market for the second year and onward remain within the target range, and long-term expectations are anchored at the midpoint of the range  ."
consecutive,1,16,14,"In its most recent meeting, the Federal Reserve raised the federal funds rate by 75 basis points, for the second consecutive time, and emphasized its commitment to lower inflation."
reducing uncertainty,2,16,14,"In view of the war, the Monetary Committee’s policy is focusing on stabilizing the markets and reducing uncertainty, and it has activated a program to sell foreign exchange and to provide liquidity in the swap and repo markets."
war the monetary,3,16,14,"In view of the war, the Monetary Committee’s policy is focusing on stabilizing the markets and reducing uncertainty, and it has activated a program to sell foreign exchange and to provide liquidity in the swap and repo markets."
stabilizing the markets,3,16,14,"In view of the war, the Monetary Committee’s policy is focusing on stabilizing the markets and reducing uncertainty, and it has activated a program to sell foreign exchange and to provide liquidity in the swap and repo markets."
markets and reducing,3,16,14,"In view of the war, the Monetary Committee’s policy is focusing on stabilizing the markets and reducing uncertainty, and it has activated a program to sell foreign exchange and to provide liquidity in the swap and repo markets."
residential,1,16,13,"Private consumption grew moderately, and investment continued to contract, despite the firming of residential construction investment after it had declined over several quarters."
tax revenues,2,16,13,"After the growth rate slowed in the second and third quarters of 2018, the findings from the fourth quarter Companies Survey   and data on tax revenues support the assessment that the economy is growing at a pace hovering around the long term path."
previous quarter,2,16,13,"These estimates suggest that in the first quarter, the economy contracted by 5 percent compared with the previous quarter (in quarterly terms)."
direct,1,16,13,"The direct weekly cost of the third lockdown in its current format, compared with a state of full economic activity, is estimated at about NIS 2.5 billion."
renewing,1,16,13,"Alongside this, the annual increase in rents (in renewing contracts) was 3.2 percent."
pace of annual,3,16,13,"The pace of annual inflation of the nontradable components, which mainly reflects the housing component and services industries, is 5.5 percent—similar to the previous month."
forecasters projections,2,16,13,"The CPI was 6.0 percent in February, similar to forecasters’ projections, and the PCE index was 5.0 percent in February, slightly below previous expectations."
past two,2,16,12,"In the past two months, Tel Aviv Stock Exchange equity indices declined by approximately 10 percent  , which is in line with the marked declines on major global equity indices  ."
include,1,16,12,"The main risks include the slowdown in Europe, an escalation of the trade war, and Brexit."
contribution,1,16,12,"Inflation over the past 12 months was 1.5 percent  , its highest level since 2013, with the volatile fruit and vegetables component making a relatively significant contribution  ."
two years,2,16,12,"Private consumption excluding durable goods and public consumption drove growth in the second quarter, and the trend of expansion that has characterized exports in the past two years continued, led by services exports."
began,1,16,12,Yield spreads between corporate bonds of the nonfinancial business sector in Israel and comparable government bonds continued the downward trend that began at the start of the year.
home prices continued,3,16,12,"Home prices continued to increase moderately, and in the past year they have increased by 1.9 percent, while the annual rate of increase in rents is moderating."
rapidly,1,16,12,"Goods exports were flat in October and November, while services exports continued to grow rapidly in October  ."
difficulty in obtaining,3,16,12,"Corporate bond spreads have also started to widen again recently. v The Business Tendency Survey indicates some moderation in companies’ difficulty in obtaining credit, but the constraint remains greater than it was prior to the crisis."
high levels,2,16,12,"From an industry standpoint, the average level of difficulty in obtaining credit returned to its precrisis level in all industries except hotels, where there was a sharp decline in the difficulty in March, but companies are still reporting relatively high levels of difficulty in obtaining credit."
volume of new,3,16,12,"The volume of new mortgages taken out in July was similar to the record set in June, further to the high mortgage volumes since the beginning of the year  ."
seen,1,16,11,"There were price declines and sharp volatility in most equity indices, and expected monetary contraction worldwide is seen to be slowing."
excluding energy,2,16,11,Inflation excluding energy and fruits and vegetables is 0.9 percent.
declined significantly,2,16,11,"In contrast, the Purchasing Managers Index declined significantly in August, and indicates a contraction of activity."
shortage of workers,3,16,11,"The number of job vacancies continued to increase, further to the trend since the beginning of the year, and the shortage of workers continues to weigh on the expansion of activity."
account,1,16,11,"The government budget deficit is expected to increase to 11 percent of GDP in 2020, taking into account the budget plan announced by the government to deal with the crisis and the expected decline in revenues due to a slowdown in activity."
conducted,1,16,11,"However, after the Bank of Israel conducted the shekel/dollar swap transactions, the volatility declined and the shekel weakness moderated to about 5.8 percent against the dollar and 3.4 percent in terms of the effective exchange rate since the previous interest rate decision."
obtaining credit,2,16,11,"Corporate bond spreads have also started to widen again recently. v The Business Tendency Survey indicates some moderation in companies’ difficulty in obtaining credit, but the constraint remains greater than it was prior to the crisis."
credit market continues,3,16,11,The credit market continues to function with stable interest rates.
moderate pace,2,16,11,"The employment rate is in an upward trend, though at a more moderate pace than in previous months."
slower,1,16,10,"Based on the initial estimate of National Accounts data by the Central Bureau of Statistics, the economy returned to growth in the fourth quarter of 2018 at a pace in line with the long-term rate, following slower growth in the second and third quarters of 2018  ."
severe,1,16,10,"The slowdown in world trade is becoming more severe, and includes emerging markets as well."
micro,1,16,10,The loans are contingent on extending credit to small and micro businesses.
small and micro,3,16,10,The loans are contingent on extending credit to small and micro businesses.
supports,1,16,9,"The tight labor market supports this assessment, as does the growth of imports and the widening of the trade deficit."
making,1,16,9,"Inflation over the past 12 months was 1.5 percent  , its highest level since 2013, with the volatile fruit and vegetables component making a relatively significant contribution  ."
days,1,16,9,"Medium-and long-term forward inflation expectations derived from the bond market remained largely stable since the previous interest rate decision, and have increased slightly in recent days  ."
